#
#   Mass - radius relations for iron core WDs with:
#   a helium envelope:    M_{He}/M_{*} = 10^{-2}
#   a hydrogen envelope:  M_{H}/M_{*} = 10^{-5}
#   in units of WD stellar mass.
#
#   T_{eff}:   effective temperature (in 10^3 K)
#   M/Mo:      stellar mass in units of solar masses
#   100 R/Ro:  100 x [stellar radius in units of solar radius]
#
# T_{eff}[10^3 K]   M/Mo     100 R/Ro
#
  35.0000000    0.8300000    0.7524188
  45.0000000    0.8300000    0.7635517
  55.0000000    0.8300000    0.7741629
  70.0000000    0.8300000    0.7912905
   5.0000000    0.8400000    0.7049613
  15.0000000    0.8400000    0.7175227
  25.0000000    0.8400000    0.7276793
  35.0000000    0.8400000    0.7395639
  45.0000000    0.8400000    0.7502666
  55.0000000    0.8400000    0.7602398
  70.0000000    0.8400000    0.7765155
   5.0000000    0.8500000    0.6933334
  15.0000000    0.8500000    0.7053303
  25.0000000    0.8500000    0.7149741
  35.0000000    0.8500000    0.7263654
  45.0000000    0.8500000    0.7366941
  55.0000000    0.8500000    0.7466045
  70.0000000    0.8500000    0.7618710
   5.0000000    0.8600000    0.6819158
  15.0000000    0.8600000    0.6933921
  25.0000000    0.8600000    0.7025728
  35.0000000    0.8600000    0.7134477
  45.0000000    0.8600000    0.7234380
  55.0000000    0.8600000    0.7329520
  70.0000000    0.8600000    0.7472916
   5.0000000    0.8700000    0.6702866
  15.0000000    0.8700000    0.6812710
  25.0000000    0.8700000    0.6900110
  35.0000000    0.8700000    0.7003437
  45.0000000    0.8700000    0.7100396
  55.0000000    0.8700000    0.7191382
  70.0000000    0.8700000    0.7327449
   5.0000000    0.8800000    0.6588616
  15.0000000    0.8800000    0.6693534
  25.0000000    0.8800000    0.6777079
  35.0000000    0.8800000    0.6874723
  45.0000000    0.8800000    0.6969021
  55.0000000    0.8800000    0.7056164
  70.0000000    0.8800000    0.7182573
   5.0000000    0.8900000    0.6468623
  15.0000000    0.8900000    0.6568406
  25.0000000    0.8900000    0.6648210
  35.0000000    0.8900000    0.6740260
  45.0000000    0.8900000    0.6831753
  55.0000000    0.8900000    0.6914998
  70.0000000    0.8900000    0.7037401
   5.0000000    0.9000000    0.6348249
  15.0000000    0.9000000    0.6443061
  25.0000000    0.9000000    0.6519304
  35.0000000    0.9000000    0.6605960
  45.0000000    0.9000000    0.6694685
  55.0000000    0.9000000    0.6774248
  70.0000000    0.9000000    0.6892248
   5.0000000    0.9100000    0.6228920
  15.0000000    0.9100000    0.6318995
  25.0000000    0.9100000    0.6391839
  35.0000000    0.9100000    0.6473543
  45.0000000    0.9100000    0.6559400
  55.0000000    0.9100000    0.6635415
  70.0000000    0.9100000    0.6749341
   5.0000000    0.9200000    0.6107726
  15.0000000    0.9200000    0.6193251
  25.0000000    0.9200000    0.6262795
  35.0000000    0.9200000    0.6339716
  45.0000000    0.9200000    0.6422743
  55.0000000    0.9200000    0.6495415
  70.0000000    0.9200000    0.6604244
   5.0000000    0.9300000    0.5986423
  15.0000000    0.9300000    0.6067715
  25.0000000    0.9300000    0.6134133
  35.0000000    0.9300000    0.6206473
  45.0000000    0.9300000    0.6286579
  55.0000000    0.9300000    0.6356070
  70.0000000    0.9300000    0.6459736
